T,K	C_bg	DC_p
539.387716021	443.482661294	-7.19986746351
543.141053666	443.860477382	-7.09713493112
546.059031604	444.149642184	-5.93453705994
549.812947353	444.515897606	-6.30534504723
552.732659602	444.796375426	-6.58936375192
556.484262936	445.151247835	-5.00838398178
559.403975185	445.423215017	-5.28389204879
562.740789184	445.72960574	-5.59432949714
565.659923329	445.993839755	-5.37700320998
568.577901267	446.254483798	-4.18588457916
571.497613516	446.511854247	-4.44679591225
573.999067808	446.729671778	-3.69744611572
576.499943996	446.945000928	-2.46050675027
579.417343831	447.193159676	-0.77180163808
581.918798123	447.40337545	-0.01485008379
585.256190225	447.680219761	-0.780842306706
588.593582327	447.952996257	-1.54276671382
591.93097443	448.221782024	-2.30070039255
595.267210325	448.486561307	-2.08442521428
598.60344622	448.747501464	-1.86431091049
601.523158469	448.972770159	-2.09312048972
605.277074218	449.258237579	-2.38314047526
608.613310113	449.508084062	-2.15193249774
612.365491551	449.784828767	-0.977926210062
616.119407299	450.057287248	-1.25493725717
620.289846694	450.354910445	-1.07251767369
623.625504486	450.589199893	-0.340651475274
627.795943881	450.877521782	-0.148930584712
631.131601672	451.104523619	0.590223226272
634.885517421	451.356232204	0.333962075094
638.638855066	451.604001666	0.566741233153
642.808716357	451.874789184	1.2610976809
646.561475898	452.114544331	1.98699234065
650.732493397	452.376728301	1.71974996432
654.485831042	452.608873885	1.96815300072
657.82091073	452.812202127	3.21608159208
661.990772021	453.06259852	3.93082916466
666.161211416	453.308863957	4.16460650763
670.331072707	453.551020339	4.887594091
673.666730499	453.741857654	5.66291242357
